,training_losses,validation_losses,training_miou,validation_miou
0,0.697266448289156,0.8031144191080065,0.21455486187283357,0.06944750078494678
1,0.6013512733578682,0.5698429655228088,0.275464526563056,0.306637531270165
2,0.5627421773225069,0.5308165884952047,0.2992380647309452,0.34330330747419807
3,0.5352657120674849,0.5431007730649479,0.318531562242695,0.3285856716406838
4,0.518677992336452,0.5005311488882819,0.33117782561569803,0.36720321825560337
5,0.5114563563838601,0.49372651772712595,0.3386828631010568,0.3751162818719056
6,0.4931643943488598,0.5112209616979556,0.3508236307404719,0.3656058569169585
7,0.48796924341470005,0.4868431032371165,0.3620849056639779,0.3836951185362792
8,0.4761011927202344,0.4695560018073267,0.37475795453761807,0.4062082516630669
9,0.4685573648288846,0.5004039524651286,0.37571072769326247,0.3770608528341394
10,0.4701246532052755,0.4722587396182231,0.38054194448375234,0.39890663338583043
11,0.4630505931004882,0.468314617205022,0.38371118108446217,0.4031144520114022
12,0.4592068439349532,0.4524737084423428,0.38693933623305393,0.4312723020034061
13,0.45484220650047064,0.46408567538679535,0.3950537785483445,0.4131814736803329
14,0.44400998212397097,0.44367718763315855,0.40514968365756815,0.4374677385388008
