,training_iou,validation_iou
0,0.518293846333236,0.3357997844882664
1,0.5887134066450666,0.5781001693029548
2,0.600186764845374,0.6526681514575131
3,0.6198542632206142,0.5830212892952471
4,0.628812439521851,0.6407534894436443
5,0.6337708512767714,0.6362764643027543
6,0.6403496956441834,0.6049465916236393
7,0.6539846071374347,0.6228030576326308
8,0.6574043809321889,0.6011964308085486
9,0.6574293257374513,0.6646924161921359
10,0.6563729209858075,0.6584710966225618
11,0.6661330652341508,0.5925412185743404
12,0.6725442645668286,0.6159032347264685
13,0.6779892430667989,0.6235200945869106
14,0.6879118050922427,0.6022098015001531
15,0.6811295362592441,0.6101293753618227
16,0.6901432801234094,0.6541432968397636
17,0.6852229245399174,0.6290248851809237
18,0.6929042527550145,0.6169742781319327
19,0.6919145829844893,0.660309671134085
20,0.6976203941985181,0.6234025691715466
21,0.6993124879765928,0.6368048608383466
22,0.7023125388468915,0.6489714033835169
23,0.7030836182553866,0.5753096204199311
24,0.7064668314847332,0.6410794372832964
25,0.7120513036759973,0.566832442165515
26,0.7105112315444221,0.6462330915792318
27,0.7156204268423437,0.628961031300124
28,0.719806067863403,0.6262019279510862
29,0.7163822974203623,0.637315433807291
30,0.7141939749320348,0.5818877347449863
31,0.7214500447462874,0.6244413946466509
32,0.7218275626151882,0.6236444392527141
33,0.7281735170828668,0.5846657137639889
34,0.7325525937373178,0.6459442129232648
35,0.7307784968649434,0.6515088972971879
36,0.7330772222308387,0.5999229612594891
37,0.7353694088626326,0.6446390685935816
38,0.7307085790480786,0.6234483835222717
39,0.7320933373350846,0.5981461947713609
