train,val,test,total
16.56,18.81,17.62,17.22
19.26,12.72,18.11,17.76
37.82,28.57,19.76,32.21
13.9,17.89,22.67,16.53
7.95,9.25,18.97,10.53
4.51,12.76,2.86,5.75
