tif_path,polygon_index,intersection_percentage
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4114,1.0
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4115,0.9999999999999999
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4116,0.9999999999999996
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4117,1.0
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4118,1.0
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4119,1.0000000000000002
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4120,0.9999999999999996
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4121,0.9999999999999997
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4122,1.0000000000000002
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4123,0.999999999999992
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4124,1.0000000000000002
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4125,0.9999999999999998
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4126,0.9999999999999999
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4127,1.0000000000000002
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4128,1.0
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4129,0.9999999999999997
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4130,1.0000000000000004
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4131,1.0000000000000002
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4132,1.0000000000000002
../data/data_1/zone26/230617_Ecomed_15cm_L93_4canaux_zone26_0_0.tif,4133,1.0
