int,zone44,zone98,zone63,zone114,zone70,zone14,zone100,zone118,zone106,zone112,zone10,zone72,zone75,zone4,zone77,zone17,zone103,zone171,zone67,zone164,zone172,zone6,zone15,zone57,zone54,zone158,zone30,zone39,zone11,zone170,zone141,zone24,zone143,zone160,zone37,zone161,zone16,zone27,zone78,zone139,zone71,zone125,zone19,zone115,zone93,zone153,zone104,zone137,zone147,zone65,zone123,zone23,zone116,zone56,zone85,zone21,zone74,zone95,zone58,zone69,zone53,zone41,zone88,zone168,zone22,zone52,zone90,zone33,zone136,zone126,zone48,zone94,zone167,zone156,zone165,zone121,zone117,zone80,zone66,zone132,zone45,zone169,zone1,zone12,zone51,zone128,zone38,zone142,zone7,zone5,zone76,zone113,zone154,zone73,zone101,zone129,zone145,zone144,zone34,zone96,zone133,zone140,zone159,zone124,zone68,zone97,zone50,zone28,zone127,zone102,zone134,zone155,zone20,zone25,zone2,zone120,zone84,zone162,zone59,zone157,zone47,zone138,zone148,zone3,zone26,all_zones
0,0.0011758218264446578,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23390549879807693,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004329682002675083
1,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2,0.6067489538778806,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.020430704665829268
3,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.1261651611328125,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0002966680236592652
5,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0006093154718846451,0.0,0.0007643266157670455,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.3111538176840924,0.0,0.0,0.0,0.009764353434244791,,0.0,0.0,0.0,0.0,0.0,0.0,0.00011996435446153104,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.23123343331473215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038097240306712962,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0035834760051363557
6,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0007449808851613716,0.0,0.0,0.0,0.003086231372974537,0.0,0.01081570712002841,0.0025896155315896737,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.023172120198973658,0.0,0.0,,0.0,0.0,0.0007027567431913407,0.0,0.0,,0.0,0.2876594543457031,0.0,0.0,0.00034827621634518635,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.03243499106549202,0.2540793282645089,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01255741404063666,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08643538863570602,0.04999415079752604,0.0,0.0,0.0,0.03146210349941649,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004418061400267532
7,0.00816605210970234,0.0,0.0,0.0,,0.0,0.01789154877533784,,0.0,0.0,0.0,0.0,0.0,0.0647418682391827,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068977602066533,0.011969231939935064,0.0008148193359375,0.0,0.0,0.0,,0.0,0.00035839989071800594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0011747511306172192,0.0,0.0,,0.0,0.0,0.008987369928058077,0.0,0.0,,0.0,0.008373260498046875,0.0,0.0,0.0,0.052127838134765625,,0.0,0.0,0.0,0.0,,0.0,,0.09728176035779587,0.0,0.0,0.0,0.022464752197265625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004402609432444853,0.0,0.0,,0.0,0.0,0.003824570599724265,0.0,0.0,0.0,0.0,0.00359039306640625,0.4182688395182292,0.5303637186686198,0.0,0.0,0.0,0.10805109427677645,0.006284946348608994,,0.0,,0.0,0.00019402597464767156,0.0,0.0,0.0,0.0,0.0,0.009757713035300927,0.0,0.0,0.13353729248046875,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.03212432861328125,0.0,0.006637841004238074
8,0.009463518025488827,0.0,0.07557397601248204,0.1105621337890625,,0.0,0.12560004156989021,,0.0,0.0,0.008238640384397644,0.5471149791370739,0.0,0.0,0.0,0.0,,0.0,0.221621977149574,0.0,0.0,0.0,0.0,0.14190521240234374,0.04107085197202621,0.03742683707893669,0.02230137416294643,0.0,0.0,0.0,,0.0,0.03351720174153646,0.0,0.0,0.0,0.0,0.0011102247607800387,0.05452846950954861,0.0,0.7101425170898438,,0.0,0.0,0.0,,0.046632906285727894,0.0,0.0,0.0,0.0,,0.0,2.9754638671875e-05,0.0071434230979429475,0.0,0.057168351123221044,0.13701019287109376,,0.0,0.0,0.0,0.13939762115478516,,0.0,,0.09091381316489362,0.0,0.4287327816611842,0.0,0.0,,0.0,0.001410819388724662,0.002990570068359375,0.0,0.0,0.09888966878255208,0.0196599781370723,0.0017986297607421875,0.0,0.0,0.25032797420726105,0.08045128210267025,0.4498629615420387,,0.0,0.0,0.0,0.01397705078125,0.0,0.45317526424632354,0.0,0.04490814208984375,0.039014463071469906,0.0,0.0,0.0,0.1840243869357639,0.0897240223231652,0.0,,0.004735227491034836,,0.29463204520089287,0.0,0.0,0.01910543786474021,0.0,0.08352798745233753,0.0,0.0,0.049363107392282196,0.0,0.0,0.09487960250289351,0.0391510009765625,0.10293070475260417,0.039839821300287355,0.0,0.0,,0.057946205139160156,0.086920166015625,0.01458797814711085,0.05817081000060905
9,0.0,0.018769945417131697,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.06630082563920454,0.0005226606204185957,0.0,0.22678930109197443,0.0,,0.0,0.06376045054664398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03521394275483631,0.0,0.0,0.19396018981933594,,0.0,0.02549798148018973,0.0,0.0,0.0,0.0,0.019668815671935562,0.5666875768590857,0.22024937093692976,0.0,,0.08759111496463672,0.0,0.0,,0.0,0.0,0.1033885536691108,0.0,0.0,,0.0,0.042478179931640624,0.0,0.0,0.014404841860903484,0.4905782063802083,,0.15728470651726972,0.0,0.0,0.0,,0.0,,0.0,0.09979466029575892,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.04324032758597165,0.0702667236328125,0.0,0.3627471923828125,0.0,0.0,0.0,,0.0,0.0,0.0,0.035262625558035714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.013868887765066965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142608642578125,0.0,0.009420811444863507,0.0,0.0,,0.0,0.008172607421875,0.0,0.03594517114971017
