class,int
E1,1
E2,2
E3,3
E5,4
E6,5
F3,6
F4,7
F5,8
F6,9
F9,10
FA,11
FB,12
G1,13
G2,14
G3,15
G4,16
G5,17
I1,18
I2,19
J,99
J1,20
J2,21
J3,22
J4,23
J5,24
J6,25
