,training_losses,validation_losses,training_miou,validation_miou
0,0.6737031016498805,0.8069892572378045,0.2296711342305324,0.0968114268249566
1,0.569519335180521,0.528760801833957,0.3078773530762984,0.3546498741786068
2,0.5265097877383232,0.4819790340626417,0.3369763213820655,0.3933541906101086
3,0.5029983933269978,0.4681061942185928,0.3512833296599045,0.4034418209069407
4,0.4866325303539633,0.5098263946042132,0.3667645501835587,0.360901204472762
5,0.4842653898149728,0.4682755081622458,0.3701675303272938,0.3991898148321862
6,0.4674302719533443,0.4405946317893355,0.3840924626519816,0.4353260167388057
7,0.4592308620363474,0.4615134242088047,0.3914831965782592,0.4115412867236691
8,0.448689125329256,0.4658904016129117,0.4027597176241966,0.4078267604712738
9,0.4376581326499581,0.4427590164453236,0.412088393697757,0.4259970701856861
10,0.4503968790918589,0.428459523440297,0.4052544904412276,0.4495192921215165
11,0.4329114566370844,0.4340265181694013,0.4207706522489933,0.4407948915159454
12,0.4254622881673276,0.430415188365463,0.4315870473439046,0.4416471927627159
13,0.4218597975187003,0.3963366378821544,0.4341202607098983,0.4836114515610306
14,0.414048324059695,0.4210242423326222,0.4361859781238291,0.4564212880179472
15,0.417310572117567,0.4328653278635509,0.4343027644288308,0.4432786436614258
16,0.4142679284140467,0.4433891137700472,0.4401898082852595,0.4327548029946209
17,0.4133049026317894,0.413723487406969,0.4420386752899481,0.4639975398013541
18,0.4020837137475609,0.3920943923572551,0.4546936178961609,0.4869178269539266
19,0.3977961008623242,0.4088868013958432,0.4604314358630312,0.4782861459039857
20,0.3993862411379814,0.4227085076828501,0.4599312115070573,0.4549145683288029
21,0.3954382459074259,0.41043161965017,0.4635000889509586,0.4691286770621032
22,0.3875100511685014,0.4018830737905271,0.4704711167036703,0.4756578601890613
23,0.3999115627072751,0.42610016242781684,0.4568501397375319,0.4509981535557956
24,0.3966019262000918,0.39484138511566086,0.46189499078048674,0.4917197832164015
25,0.38596532728523014,0.40431196426055327,0.4750657869549639,0.4828705306575845
26,0.4013928740471602,0.3875213038287501,0.45795355516239894,0.4966584803120037
27,0.3896037933044136,0.40913771760107864,0.4706815429051396,0.4676807838187427
28,0.39120962856337427,0.40779288160378363,0.4724551125553495,0.48066843204661813
29,0.38200030360370874,0.363799159651372,0.4788469182492667,0.5265206584805947
30,0.37498662328347565,0.40627409826352523,0.4944538604327851,0.47902821699773773
