,training_losses,validation_losses,training_iou,validation_iou
0,0.5208301791110712,0.7139447346843523,0.49418375123646485,0.2308348535463728
1,0.4178151267578004,0.4090267074262274,0.5871068867036177,0.6096665065350204
2,0.3813566948134205,0.39231145304852516,0.607929021205957,0.5918654696694736
3,0.3639690284254915,0.3478093081764106,0.6228148504361639,0.652689932235356
4,0.34825840506498684,0.35478672423753244,0.6362665890788483,0.6619470597341143
5,0.34754356202972725,0.3403379416799751,0.6374932337734817,0.6694049156945328
6,0.33756254785170814,0.38939793831829367,0.6457154658926323,0.6350605410748514
7,0.32871621995305467,0.3163230239959626,0.6494450003166363,0.6887463505925804
8,0.3229451436731932,0.34073263991238745,0.6552172600364136,0.6800109392096256
9,0.3048580837266933,0.331336396328848,0.6718327801577983,0.6769876282276779
10,0.31104147159400525,0.3203450494670662,0.674240797843988,0.6955652424487574
11,0.30758943297076297,0.3079279600803194,0.6765297786990229,0.6991159080945212
12,0.30060374043259225,0.3227120490166648,0.683307578223583,0.6885836319676761
13,0.30448827130306694,0.3607907300365382,0.6816876008462494,0.6597176268696785
14,0.2924669467621303,0.2906011587715355,0.6856455469681138,0.7031704629289692
15,0.2938059431632245,0.2911152812042113,0.689950727248398,0.7094683549527464
16,0.29798382558250636,0.28873671880313034,0.6904511259337324,0.7193991356882555
17,0.29765232540774417,0.28773869124465973,0.6880667960265872,0.7111930985902918
18,0.285056960428139,0.31250515785710564,0.6974003125164626,0.7036825315705661
19,0.2904305345773353,0.2968381695320894,0.6936386788441056,0.7163406068394924
20,0.28900282065617594,0.296307601355787,0.6909595161934063,0.7061062586204759
21,0.2820306593171114,0.29476345760812017,0.6999287401736641,0.7016299061220268
22,0.280890221189525,0.2936632400057439,0.7002494482039031,0.707392470333083
23,0.26745989536517634,0.27503202675745403,0.7103352975261314,0.7190232485018927
24,0.27709913434144057,0.2759487889064797,0.7088161478468595,0.724093649407913
25,0.27436087446915314,0.272488775502505,0.7079066175548763,0.7248384526063656
26,0.2712641159496579,0.26761788932670805,0.7173452380754762,0.7325732117069179
27,0.27672443223274407,0.2819201862760659,0.7105747105752357,0.7192698362572439
28,0.2649123520732613,0.27158423988469715,0.7197321601834695,0.734176467204916
29,0.266490154193784,0.2778528715515959,0.7212186251318764,0.7316475723837984
30,0.26532092428516585,0.3011418142966155,0.7211658972656348,0.6954597455674204
31,0.2720030769276344,0.27579579553727446,0.712011939596374,0.7247625512295756
32,0.2653830770499768,0.2800245601683855,0.7229017551762913,0.7208770025393059
33,0.2649495757536517,0.3034032593513357,0.7234107961915756,0.7122293620787817
34,0.2671602918881848,0.284828487141379,0.7215993542664333,0.7284506019847147
35,0.2603499400147615,0.27399954424592954,0.7335722071121337,0.721340383948951
36,0.26441631889137135,0.26540985318093463,0.7232019655642661,0.7351410132029961
37,0.2637689903335544,0.28097718446676073,0.7308107179935797,0.7221838988620659
38,0.2527576595415987,0.28656531035386285,0.7364845766285998,0.7177654820783385
39,0.2523226844259573,0.27450126820597154,0.7337716308553899,0.7392583944160362
40,0.25492393145987213,0.2787445683417649,0.7391465587986993,0.7214770918262416
41,0.25923069888559475,0.302633463308729,0.7325732778403532,0.6923936325414427
42,0.2531244717967785,0.26391837778019495,0.7370168891351574,0.7379127412006773
43,0.24566208342525045,0.2851316644970713,0.7454322890005469,0.7222410933724766
44,0.2455756836262148,0.2789081570146413,0.7462072231584048,0.7209017384668877
45,0.24967613647710693,0.2716982506922093,0.7423918060851028,0.7279810707630783
46,0.2383035098119325,0.2791605985498634,0.7501354309426949,0.7369727882845648
47,0.24990490157296746,0.27800974301223097,0.7426429170181154,0.7227338611565787
48,0.24304339678297812,0.2665785964064557,0.7480149446028453,0.7360885582607368
49,0.2462767546497264,0.27149712689349365,0.7468858971891211,0.7326145547217336
50,0.23990648810990606,0.2916932164787732,0.7520915803201604,0.7158275066778578
51,0.2373756557080347,0.2719990151837982,0.7498242685018424,0.7302364671024782
52,0.24182431304274443,0.2623639886492285,0.7501548540695256,0.7398535480787014
53,0.23644063151535452,0.25793351371098183,0.7546438103278708,0.7439798599687116
54,0.23724148349476823,0.26341482900596896,0.7501246969534959,0.7422761269684496
55,0.22858907867448475,0.2545156602201791,0.7607814953031732,0.7465684943158051
56,0.22784935966434672,0.2801031307156744,0.7595051415371964,0.7330294390176905
57,0.23704628749436535,0.2727900604428402,0.7539088013192762,0.7276722336637562
58,0.23139320487848963,0.3002696817676569,0.7549870843846104,0.7219550648126108
59,0.2326796273472759,0.2637388562333995,0.7547281679055876,0.7390588501404072
60,0.2256709799138287,0.2571404034528753,0.7626449920086764,0.7462846644479653
61,0.21811667945697602,0.2950345017015934,0.7682670986961563,0.7219158542053453
62,0.21862987019873145,0.25167972665151644,0.7700606723683712,0.75246812557352
63,0.2207373585927727,0.3063182328538648,0.7717049027382469,0.7119779992720177
64,0.21618626760023643,0.2733430201508876,0.7744454345545095,0.7333846791037197
65,0.21198019997273124,0.26856606241700975,0.7758585207744015,0.7467055783189577
66,0.2181059037702915,0.2644478126974969,0.7757662082955198,0.7338148653507233
67,0.2178741833060894,0.27167653758078814,0.7744503352758864,0.7453603318025326
68,0.21029756339508449,0.28324333501273186,0.7785373488145878,0.7174220745419634
69,0.21237213621909062,0.3098088103378641,0.7806176471950685,0.7107255196776884
70,0.20980242300531707,0.279395871859943,0.782885120821961,0.7277410107439962
71,0.2069837138572069,0.2901826973619132,0.7824311569032477,0.7150264012402502
