,training_losses,validation_losses,training_miou,validation_miou
0,0.5576004392586448,0.40328221619951965,0.24882297371275572,0.2642747845090634
1,0.47852249951009035,0.39336998505811943,0.3043702525296892,0.30630141489250845
2,0.45731278315867796,0.39234316955570875,0.32666648725313646,0.29772979076878175
3,0.4365898401663144,0.4014555254267945,0.3539997289002612,0.28049163609029076
4,0.41519095015396545,0.39053973588126156,0.3681784691787818,0.3055873187456121
5,0.407058908819174,0.3872991010232505,0.37427893407088697,0.30848255681075926
6,0.4001578853486361,0.39145763534519973,0.3873178298651086,0.30378305838128433
7,0.39617452435937883,0.3859271307238398,0.39217418760502465,0.326429905826189
8,0.390234857413302,0.38257673201283443,0.40125408300667664,0.34310478920768284
9,0.3821377088899909,0.40470203005598276,0.41562846474735116,0.2563391580684919
10,0.37542705384169345,0.3846944955084016,0.42825594315136256,0.3441249080962688
11,0.3712812501910947,0.3802256076692345,0.4282771851268581,0.3181295607150208
12,0.3702481826909262,0.38278867358277285,0.4328421555986866,0.32601091620589817
13,0.36421883100990954,0.3836258843145508,0.443348139691901,0.3292173241409055
14,0.35849124830596124,0.39312694479553156,0.4533908405377865,0.3016232674596762
15,0.3551251748172787,0.38308567389945974,0.4570852638035053,0.32584093374028616
16,0.35361518919607676,0.38285463832744426,0.4590784266533556,0.32267343527924486
17,0.34413371160670087,0.3996654228989123,0.46709258448393687,0.27118120773651405
18,0.34135046065866875,0.3909403185916539,0.4716236271011565,0.293601720048007
19,0.3387376498212603,0.3803952386077215,0.47935395327281466,0.3286861733774427
20,0.3349825549130475,0.37905662168388954,0.47625981385443866,0.3417504539830256
21,0.3319054710965905,0.38582811207640444,0.4857298717255562,0.3069469088434791
22,0.3354491033489791,0.3915083544123372,0.4887799665409817,0.2868978249868049
23,0.3255109678591402,0.3808140712794875,0.49405134897737374,0.3137901252760621
24,0.3280212031273392,0.3784966743354354,0.4937709017397042,0.3423207611494088
25,0.33156021713668965,0.38170260637993386,0.4920705308201972,0.32299507030326496
26,0.3201795887400736,0.37680111655668624,0.5127239670700722,0.3557849837222249
27,0.3213243525527671,0.3812879352929723,0.5123928468338089,0.33400845412960994
28,0.313530507136097,0.38256182265645056,0.5215982810701455,0.29800588984884424
29,0.32068428379054437,0.3795646714131379,0.5135512618667045,0.3206030510573037
30,0.3086764623977654,0.3849951253686938,0.5254912966224544,0.31361083862085487
31,0.31586576413673295,0.3822356047290152,0.5171548744047051,0.3189716308858472
32,0.30677219252413246,0.3727427658515835,0.5319567493815757,0.33648981494267566
33,0.3016334927607009,0.3665189900800994,0.5469745240736833,0.3614993971466626
